;ETF1;ETF2
14/06/2019;260.4;27.75
17/06/2019;263.8;27.7
18/06/2019;271;27.3
19/06/2019;277.8;27.65
20/06/2019;278.2;28.1
21/06/2019;276.8;27.8
24/06/2019;276.4;27.8
25/06/2019;272.2;27.6
26/06/2019;273.2;27.55
27/06/2019;277;28.1
28/06/2019;275.8;28.8
01/07/2019;275.8;28.8
02/07/2019;280;29.05
03/07/2019;279.6;29.25
04/07/2019;278;29.35
05/07/2019;278.4;29.5
08/07/2019;274.2;28.75
09/07/2019;270.6;28.45
10/07/2019;270.8;28.4
11/07/2019;273.4;28.7
12/07/2019;275.4;28.7
15/07/2019;272.2;28.9
16/07/2019;273.6;28.55
17/07/2019;273.6;28.5
18/07/2019;273;28.45
19/07/2019;273.4;28.65
22/07/2019;266.6;27.9
23/07/2019;267.4;27.85
24/07/2019;266.8;27.95
25/07/2019;268.8;28.2
26/07/2019;268.6;27.95
29/07/2019;265;27.55
30/07/2019;266.4;27.6
31/07/2019;265.6;26.9
01/08/2019;264.6;26.55
02/08/2019;256.2;25.9
05/08/2019;247.8;24.9
06/08/2019;244.8;24.75
07/08/2019;246.6;25.15
08/08/2019;246.8;25.4
09/08/2019;242.2;25.2
12/08/2019;239.8;25.1
13/08/2019;234;24.45
14/08/2019;235.2;24.3
15/08/2019;238;24.7
16/08/2019;245;24.8
19/08/2019;252.8;25.7
20/08/2019;252.4;25.65
21/08/2019;254.4;25.9
22/08/2019;251.6;25.35
23/08/2019;252.4;25.1
26/08/2019;247;24.45
27/08/2019;241.4;24.6
28/08/2019;241.6;24.9
29/08/2019;242.4;24.85
30/08/2019;240;24.8
02/09/2019;237.6;24.8
03/09/2019;236.8;24.55
04/09/2019;248;25.65
05/09/2019;247.2;25.6
06/09/2019;249.4;25.7
09/09/2019;249.4;25.35
10/09/2019;245.2;25.55
11/09/2019;246;26.1
12/09/2019;237.4;25.8
13/09/2019;240.8;26.45
16/09/2019;235;26.25
17/09/2019;232.6;25.4
18/09/2019;233.2;25.55
19/09/2019;230.2;25.2
20/09/2019;230.2;25.2
23/09/2019;225.8;24.9
24/09/2019;225.8;24.9
25/09/2019;222.6;24.7
26/09/2019;225.2;24.75
27/09/2019;226.8;24.55
30/09/2019;230;24.65
01/10/2019;230;24.65
02/10/2019;228.4;24.6
03/10/2019;229.4;24.9
04/10/2019;226;25.05
07/10/2019;226;25.05
08/10/2019;231.2;25.2
09/10/2019;229.6;25.15
10/10/2019;232;25.25
11/10/2019;237.2;25.9
14/10/2019;237.2;26
15/10/2019;236.4;25.75
16/10/2019;236.2;25.8
17/10/2019;237;26.2
18/10/2019;238.2;26.2
21/10/2019;242.6;26.6
22/10/2019;242.2;26.3
23/10/2019;241.2;25.75
24/10/2019;240.8;25.15
25/10/2019;241.2;25.2
28/10/2019;243.2;25.3
29/10/2019;242.4;25.3
30/10/2019;241;24.85
31/10/2019;245;24.8
01/11/2019;247.4;25.3
04/11/2019;250;26.05
05/11/2019;250.2;27.1
06/11/2019;251.2;27.4
07/11/2019;253;27.45
08/11/2019;254;27.1
11/11/2019;246.2;26.3
12/11/2019;247.4;26.5
13/11/2019;242.2;25.9
14/11/2019;242;25.7
15/11/2019;240.8;25.6
18/11/2019;245;26.1
19/11/2019;251.8;26.5
20/11/2019;249.2;26.6
21/11/2019;246.2;26.2
22/11/2019;245.8;26.65
25/11/2019;249.6;27.05
26/11/2019;248.6;26.6
27/11/2019;248.2;26.8
28/11/2019;250.4;26.8
29/11/2019;247.2;26.25
02/12/2019;247.6;26.95
03/12/2019;247.4;27.55
04/12/2019;245;26.7
05/12/2019;244;26.9
06/12/2019;247.6;27.2
09/12/2019;246.8;27.75
10/12/2019;245.4;28.45
11/12/2019;245.8;28.95
12/12/2019;249.8;28.8
13/12/2019;255.4;29.2
16/12/2019;251.8;29.15
17/12/2019;256.6;29.05
18/12/2019;257.6;28.9
19/12/2019;255;29
20/12/2019;256.4;29.6
23/12/2019;255.8;29.75
24/12/2019;253.4;29.5
25/12/2019;253.4;29.5
26/12/2019;253.4;29.5
27/12/2019;256.8;30.1
30/12/2019;256.2;30.1
31/12/2019;253;30.35
01/01/2020;253;30.35
02/01/2020;260.4;30.7
03/01/2020;266.6;29.95
06/01/2020;268.6;29.5
07/01/2020;269.8;29.5
08/01/2020;268.2;29.9
09/01/2020;274.8;29.95
10/01/2020;275;29.7
13/01/2020;280.2;29.65
14/01/2020;277.6;29.6
15/01/2020;279.8;29.45
16/01/2020;278;30.3
17/01/2020;280;29.65
20/01/2020;280.2;28.85
21/01/2020;271.8;27.85
22/01/2020;275;28.25
23/01/2020;269.4;27.15
24/01/2020;271.4;26.95
27/01/2020;271.4;26.95
28/01/2020;271.4;26.95
29/01/2020;263.8;25.95
30/01/2020;258;25.35
31/01/2020;258.8;25.25
03/02/2020;260.4;25.35
04/02/2020;264;26
05/02/2020;266.6;26.2
06/02/2020;273;27.35
07/02/2020;270.6;26.85
10/02/2020;268.4;27.15
11/02/2020;270.2;28.15
12/02/2020;270.4;28.2
13/02/2020;268.8;28.15
14/02/2020;269.6;28.65
17/02/2020;272.8;28.65
18/02/2020;270;28.05
19/02/2020;270.4;28.15
20/02/2020;271.4;27.75
21/02/2020;267.6;27.1
24/02/2020;260.8;26.5
25/02/2020;261.8;26.6
26/02/2020;259.8;26.75
27/02/2020;260.8;26.75
28/02/2020;255.8;26.15
02/03/2020;254.8;26.65
03/03/2020;257;26.75
04/03/2020;255.2;27.25
05/03/2020;259.6;27.55
06/03/2020;255.4;27
09/03/2020;248;25.55
10/03/2020;250.6;25.75
11/03/2020;246.6;26.4
12/03/2020;238.4;25.85
13/03/2020;238.2;25.25
16/03/2020;228.6;24.55
17/03/2020;231.2;24.4
18/03/2020;221.8;23.05
19/03/2020;213;22
20/03/2020;218;23.95
23/03/2020;211.4;22.15
24/03/2020;223.8;23
25/03/2020;232;24.05
26/03/2020;231.8;23.5
27/03/2020;234.6;23.55
30/03/2020;232;23.55
31/03/2020;233.8;24.05
01/04/2020;231;23.95
02/04/2020;235;24.3
03/04/2020;236.4;25
06/04/2020;240.4;25.45
07/04/2020;243.8;26.1
08/04/2020;242.4;26.2
09/04/2020;247.4;26.8
10/04/2020;247.4;26.8
13/04/2020;247.4;26.8
14/04/2020;249.4;26.4
15/04/2020;247;25.6
16/04/2020;244.8;25.65
17/04/2020;247;26.15
20/04/2020;244.2;26.2
21/04/2020;242.4;25.75
22/04/2020;242.6;26.05
23/04/2020;244.4;26.2
24/04/2020;245;26.1
27/04/2020;247;26.95
28/04/2020;252.6;27.9
29/04/2020;252;28.45
30/04/2020;252;28.45
01/05/2020;252;28.45
04/05/2020;246.4;26.9
05/05/2020;253.6;26.7
06/05/2020;253.4;26.35
07/05/2020;246.4;25.65
08/05/2020;242.8;25.8
11/05/2020;250;26.2
12/05/2020;251.6;25.4
13/05/2020;254.6;25.5
14/05/2020;249.6;24.85
15/05/2020;252.4;24.35
18/05/2020;254.8;24.7
19/05/2020;265.2;25.05
20/05/2020;265.8;24.8
21/05/2020;271;24.8
22/05/2020;259;23.65
25/05/2020;275;24.1
26/05/2020;272.4;24.4
27/05/2020;272.8;24.25
28/05/2020;269.6;24.05
29/05/2020;270.2;23.6
01/06/2020;282.8;24.7
02/06/2020;288;25
03/06/2020;292.4;24.9
04/06/2020;292;24.5
05/06/2020;294.2;25
08/06/2020;292.8;24.8
09/06/2020;290.8;25.3
10/06/2020;296.4;25.4
11/06/2020;294.4;24.5
12/06/2020;296.2;24.15
15/06/2020;287.4;23.8
16/06/2020;295.8;24.75
17/06/2020;293.6;24.8
18/06/2020;296;24.75
19/06/2020;300.4;25.3
22/06/2020;311.6;25.05
23/06/2020;320;25.15
24/06/2020;317.8;24.85
25/06/2020;317.8;24.85
26/06/2020;319.4;24.45
29/06/2020;320;24.2
30/06/2020;330;23.45
01/07/2020;330;23.45
02/07/2020;350;25.05
03/07/2020;345.4;25.55
06/07/2020;353.4;26.95
07/07/2020;347.8;26
08/07/2020;358;25.55
09/07/2020;370.6;25.5
10/07/2020;363.8;25.25
13/07/2020;361.2;25.1
14/07/2020;355.8;24.95
15/07/2020;356.6;24.65
16/07/2020;336.2;24.5
17/07/2020;346.8;24.3
20/07/2020;346;24.75
21/07/2020;380;24.9
22/07/2020;361.2;24.15
23/07/2020;375.8;24.1
24/07/2020;360.4;23.6
27/07/2020;353.8;23.4
28/07/2020;363.2;23.3
29/07/2020;367.4;23.4
30/07/2020;362.6;23.35
31/07/2020;370.2;23.6
03/08/2020;371.2;23.4
04/08/2020;376.8;23.45
05/08/2020;386;23.35
06/08/2020;385;23.1
07/08/2020;381.4;22.9
10/08/2020;374;22.95
11/08/2020;374;23.25
12/08/2020;369.8;23.25
13/08/2020;372;23.4
14/08/2020;368.4;23.65
17/08/2020;376.6;23.4
18/08/2020;379;23.4
19/08/2020;373.6;23.45
20/08/2020;371;23.1
21/08/2020;376.4;23.25
24/08/2020;381;23.45
25/08/2020;375;22.95
26/08/2020;382;23.2
27/08/2020;379.4;22.85
28/08/2020;380.6;22.85
31/08/2020;391.2;22.45
01/09/2020;394.2;21.8
02/09/2020;394;21.65
03/09/2020;386.6;21.45
04/09/2020;380.6;21.55
07/09/2020;370;21.25
08/09/2020;368;21.45
09/09/2020;367.6;21.35
10/09/2020;363.4;21.25
11/09/2020;369;21.2
14/09/2020;371.8;21.2
15/09/2020;371;21.35
16/09/2020;374.4;21.2
17/09/2020;370;20.85
18/09/2020;372.6;20.35
21/09/2020;367;20.1
22/09/2020;364.2;19.74
23/09/2020;368.2;19.64
24/09/2020;357.6;19.68
25/09/2020;355.8;19.28
28/09/2020;360.6;19.38
29/09/2020;359;19.14
30/09/2020;361.8;19.4
01/10/2020;361.8;19.4
02/10/2020;361.8;19.4
05/10/2020;366;19.34
06/10/2020;375;19.66
07/10/2020;377;19.78
08/10/2020;377.8;19.78
09/10/2020;372;19.9
12/10/2020;376.8;20.25
13/10/2020;376.8;20.25
14/10/2020;373;19.9
15/10/2020;362;19.42
16/10/2020;361.2;19.58
19/10/2020;367.2;19.68
20/10/2020;367;19.52
21/10/2020;371.4;19.58
22/10/2020;370;19.72
23/10/2020;368;19.62
26/10/2020;368;19.62
27/10/2020;364.8;19.12
28/10/2020;377.6;19.08
29/10/2020;383.4;19.2
30/10/2020;370.2;19.4
02/11/2020;374.4;19.46
03/11/2020;378;19.48
04/11/2020;371.6;19.32
05/11/2020;383.2;19.94
06/11/2020;381;20.25
09/11/2020;387.8;20.25
10/11/2020;380.6;20.85
11/11/2020;365.4;21.85
12/11/2020;369.4;21.05
13/11/2020;371;20.75
16/11/2020;374;19.7
17/11/2020;373;19.32
18/11/2020;370;19.38
19/11/2020;370.4;19
20/11/2020;376.2;18.28
23/11/2020;376.8;17.64
24/11/2020;392;17.96
25/11/2020;383;18.5
26/11/2020;382.8;18.78
27/11/2020;386.2;19.4
30/11/2020;385.4;18.86
01/12/2020;386.2;19.06
02/12/2020;379.8;19.3
03/12/2020;384.8;19.08
04/12/2020;392;18.6
07/12/2020;384.4;18.54
08/12/2020;384;17.8
09/12/2020;384.6;17.64
10/12/2020;384.2;17.5
11/12/2020;386;17.56
14/12/2020;387.8;17.9
15/12/2020;382.4;17.52
16/12/2020;387.4;17.72
17/12/2020;393.2;17.86
18/12/2020;394;17.9
21/12/2020;403;17.42
22/12/2020;396.8;17.24
23/12/2020;403.8;17.16
24/12/2020;413;17.3
25/12/2020;413;17.3
28/12/2020;414.2;17.2
29/12/2020;413.2;16.82
30/12/2020;425.2;16.44
31/12/2020;425;16.86
01/01/2021;425;16.86
04/01/2021;441.8;16.5
05/01/2021;457;15.8
06/01/2021;449;15.2
07/01/2021;443;15.38
08/01/2021;452;15.62
11/01/2021;450.2;16.46
12/01/2021;450.2;16.9
13/01/2021;453.4;16.88
14/01/2021;458;16.82
15/01/2021;458.4;17.04
18/01/2021;482;17.9
19/01/2021;501;18.78
20/01/2021;507;19.7
21/01/2021;515;19.12
22/01/2021;510.5;18.68
25/01/2021;553;18.48
26/01/2021;513;18.42
27/01/2021;509;18.38
28/01/2021;493.4;17.9
29/01/2021;497.4;17.48
01/02/2021;504;17.96
02/02/2021;521;17.74
03/02/2021;521;17.78
04/02/2021;511;17.66
05/02/2021;517;17.9
08/02/2021;518.5;18.36
09/02/2021;514.5;18
10/02/2021;534;18.14
11/02/2021;535;18.12
12/02/2021;535;18.12
15/02/2021;535;18.12
16/02/2021;548;18.52
17/02/2021;563.5;18.5
18/02/2021;565.5;18.42
19/02/2021;567;18.84
22/02/2021;562.5;18.72
23/02/2021;558;19.06
24/02/2021;509;18.66
25/02/2021;500;20.1
26/02/2021;473.2;19.64
01/03/2021;489.6;19.5
02/03/2021;487.6;19.14
03/03/2021;498;19.28
04/03/2021;483;19
05/03/2021;479.8;18.84
08/03/2021;455.4;18.86
09/03/2021;440.8;19.26
10/03/2021;444.8;19.34
11/03/2021;461.2;19.52
12/03/2021;453.6;19.64
15/03/2021;446;20
16/03/2021;453.2;20.9
17/03/2021;454.6;21.1
18/03/2021;470;20.95
19/03/2021;467;20.6
22/03/2021;456.2;21.2
23/03/2021;449;21.1
24/03/2021;435.8;20.8
25/03/2021;449.6;20.45
26/03/2021;463.2;20.5
29/03/2021;466.8;21.8
30/03/2021;463.6;20.85
31/03/2021;457.4;20.2
01/04/2021;468.6;20.2
02/04/2021;468.6;20.2
05/04/2021;468.6;20.2
06/04/2021;468.6;20.2
07/04/2021;457.4;19.88
08/04/2021;464.2;19.9
09/04/2021;462.8;19.88
12/04/2021;456.6;19.68
13/04/2021;454;19.7
14/04/2021;461.4;19.88
15/04/2021;463.4;19.84
16/04/2021;467;20.15
19/04/2021;479.6;19.92
20/04/2021;486.8;20
21/04/2021;479.6;19.86
22/04/2021;478.8;20.05
23/04/2021;484.8;19.92
26/04/2021;491.4;19.6
27/04/2021;490;19.56
28/04/2021;488.8;19.54
29/04/2021;480;19.74
30/04/2021;470;19.66
03/05/2021;465;19.38
04/05/2021;470.4;19.42
05/05/2021;468.8;19.5
06/05/2021;467;19.48
07/05/2021;454.4;19.54
10/05/2021;456;19.52
11/05/2021;444.2;18.98
12/05/2021;447.2;18.74
13/05/2021;440.2;18.44
14/05/2021;442.2;18.48
17/05/2021;445;18.4
18/05/2021;454.2;18.88
19/05/2021;454.2;18.88
20/05/2021;457.6;18.58
21/05/2021;453.6;18.48
24/05/2021;450.4;18.52
25/05/2021;474.6;18.52
26/05/2021;482.8;18.8
27/05/2021;483;18.82
28/05/2021;477.4;18.8
31/05/2021;485.8;18.56
01/06/2021;487.8;18.52
02/06/2021;484.4;18.52
03/06/2021;475.8;18.52
04/06/2021;478.4;18.4
07/06/2021;471.4;18.3
08/06/2021;470;18.74
09/06/2021;466.4;19.2
10/06/2021;467;19.56
11/06/2021;468.2;19.74
14/06/2021;468.2;19.74
15/06/2021;464.4;19.3
16/06/2021;463.6;19.42
17/06/2021;462.6;19.46
18/06/2021;469.8;18.86
21/06/2021;460;18.86
22/06/2021;451.8;18.76
23/06/2021;459.2;18.92
24/06/2021;459.6;18.34
25/06/2021;473.6;18.34
28/06/2021;473.8;18.22
29/06/2021;468.6;18.1
30/06/2021;462.8;17.64
01/07/2021;462.8;17.64
02/07/2021;455.8;17.84
05/07/2021;455.6;17.86
06/07/2021;466.2;17.78
07/07/2021;491;17.94
08/07/2021;490;17.86
09/07/2021;490;17.72
12/07/2021;503;17.82
13/07/2021;506;17.92
14/07/2021;507;17.82
15/07/2021;505;18.2
16/07/2021;524;18.38
19/07/2021;522;18.14
20/07/2021;521;17.8
21/07/2021;535;17.74
22/07/2021;540;18.14
23/07/2021;521;18.42
26/07/2021;500;18.04
27/07/2021;467.2;17.6
28/07/2021;472.6;17.42
29/07/2021;500;17.06
30/07/2021;496;16.3
02/08/2021;517.5;16.86
03/08/2021;518;16.74
04/08/2021;518;16.68
05/08/2021;522;16.64
06/08/2021;529.5;16.4
09/08/2021;521;16.98
10/08/2021;515.5;17.1
11/08/2021;517.5;18.62
12/08/2021;499.2;18.56
13/08/2021;501;18.68
16/08/2021;489.2;18.84
17/08/2021;474.8;18.84
18/08/2021;482.4;18.78
19/08/2021;472.6;18.22
20/08/2021;463.2;17.98
23/08/2021;489.4;17.8
24/08/2021;490.2;17.94
25/08/2021;491;17.82
26/08/2021;486.8;17.56
27/08/2021;485.8;17.72
30/08/2021;491.6;17.84
31/08/2021;490.8;17.9
01/09/2021;494.2;17.86
02/09/2021;498.4;17.76
03/09/2021;487.6;18.16
06/09/2021;498;18.04
07/09/2021;503;17.82
08/09/2021;498;17.82
09/09/2021;492.2;17.64
10/09/2021;504;17.9
13/09/2021;508;18.12
14/09/2021;504.5;17.82
15/09/2021;504.5;17.4
16/09/2021;492.2;16.54
17/09/2021;491.8;16.1
20/09/2021;478.8;15.82
21/09/2021;484.4;16.32
22/09/2021;484.4;16.32
23/09/2021;484.4;17.34
24/09/2021;476.4;17.06
27/09/2021;475;16.58
28/09/2021;474;17.56
29/09/2021;474.8;17.78
30/09/2021;479.8;17.74
01/10/2021;479.8;17.74
04/10/2021;475.2;17.9
05/10/2021;474;17.56
06/10/2021;471.2;17.46
07/10/2021;478.8;17.58
08/10/2021;472;17.44
11/10/2021;471.2;17.86
12/10/2021;462.2;17.94
13/10/2021;462.2;17.94
14/10/2021;462.2;17.94
15/10/2021;469;17.3
18/10/2021;470.6;17.32
19/10/2021;482.8;17.38
20/10/2021;490.8;17.3
21/10/2021;481.4;18.14
22/10/2021;480;18.62
25/10/2021;484.2;18.22
26/10/2021;481.8;17.6
27/10/2021;474.8;17.52
28/10/2021;467.6;17.34
29/10/2021;470.8;17.16
01/11/2021;468.2;17.08
02/11/2021;464;16.68
03/11/2021;462.8;16.72
04/11/2021;464.4;16.52
05/11/2021;466;16.36
08/11/2021;466.8;16.68
09/11/2021;465;16.68
10/11/2021;464;17.8
11/11/2021;464.6;18.7
12/11/2021;465;18.56
15/11/2021;465.2;18.4
16/11/2021;466;18.62
17/11/2021;461.6;18.36
18/11/2021;464.8;18.02
19/11/2021;464.4;18.52
22/11/2021;463.2;18.6
23/11/2021;457.8;18.66
24/11/2021;453;18.82
25/11/2021;454.8;18.86
26/11/2021;448.6;18.52
29/11/2021;445;18.3
30/11/2021;430;17.96
01/12/2021;434.8;18.14
02/12/2021;432;18.64
03/12/2021;450.8;18.7
06/12/2021;456;18.7
07/12/2021;472.8;19.06
08/12/2021;471.2;19.26
09/12/2021;471.2;19.6
10/12/2021;468.2;19.52
13/12/2021;472.8;19.12
14/12/2021;462.8;18.42
15/12/2021;455.8;18.38
16/12/2021;457;18.56
17/12/2021;453;18.68
20/12/2021;443.8;18.48
21/12/2021;447.6;18.74
22/12/2021;448;18.44
23/12/2021;452;18.48
24/12/2021;453;18.46
27/12/2021;453;18.46
28/12/2021;455.4;18.52
29/12/2021;453.6;18.38
30/12/2021;454.2;18.46
31/12/2021;455.4;18.46
03/01/2022;454.6;18.42
04/01/2022;449.6;19.46
05/01/2022;440.2;19.74
06/01/2022;435;20.35
07/01/2022;449.4;22.2
10/01/2022;458.2;22.1
11/01/2022;452.6;22.85
12/01/2022;461.8;22.6
13/01/2022;456.6;22.15
14/01/2022;452.8;22.1
17/01/2022;450.8;21.85
18/01/2022;452.6;22.25
19/01/2022;456.4;23.35
20/01/2022;474.2;23.05
21/01/2022;480.8;23.45
24/01/2022;473.4;23.45
25/01/2022;467.8;23.25
26/01/2022;461.4;23.4
27/01/2022;455.4;23.05
