Dates;DMEquitiesCAD;DMEquitiesFRF;DMEquitiesDEM;DMEquitiesJPY;DMEquitiesCHF;DMEquitiesGBP;DMEquitiesUSD;DMEquitiesEUR;DMEquitiesNDQ;DMFXEUR;DMFXGBP;DMFXJPY;DMFXCHF;BondsDEM;BondsFRF;BondsGBP;BondsUSD
04/02/2000;1.090252919;1.057435059;1.099503147;1.010946543;0.942774368;0.887998463;0.974442966;1.059139457;1.016125545;0.962587258;0.978459854;0.939846137;0.959830367;1.001689378;1.000664115;0.987777446;1.004385228
07/02/2000;1.077516035;1.044971674;1.077282251;1.018813285;0.94030099;0.878021197;0.973878885;1.043164379;1.029262581;0.960916478;0.979264827;0.930348002;0.959568032;0.992060315;0.994746008;0.986193793;0.995139231
08/02/2000;1.095927799;1.060717332;1.114615275;1.008801641;0.940188868;0.901860634;0.985725624;1.071220163;1.065156732;0.968872269;0.992389235;0.921162701;0.96589581;0.992712657;0.998320445;0.989322791;0.997624194
09/02/2000;1.093146304;1.056225542;1.126204222;1.014768724;0.927038845;0.90595214;0.965243538;1.074558646;1.034334841;0.972210021;0.992086343;0.923342644;0.968660839;0.99446524;0.999694008;0.986669578;0.991937635
10/02/2000;1.102302966;1.045330214;1.137928209;1.00410737;0.922550153;0.900689716;0.968594614;1.07105104;1.069578446;0.967691487;0.989073528;0.928741352;0.966374772;0.991705273;0.996285033;0.984027091;0.98695632
11/02/2000;1.08145625;1.058614369;1.123393915;1.004103779;0.919256749;0.888128055;0.948216655;1.075570689;1.038496337;0.967593511;0.982365264;0.925113601;0.966466864;0.986940681;0.994202023;0.987260288;0.989819057
14/02/2000;1.10313024;1.055159011;1.127974585;0.997089314;0.912263582;0.869782809;0.94969993;1.06975519;1.04135674;0.96229129;0.978859781;0.926767483;0.96030873;0.987803708;0.994594145;0.992171375;0.995505616
15/02/2000;1.10956793;1.025482387;1.091174485;0.98127794;0.897481816;0.860543518;0.957821605;1.044441717;1.049941951;0.965531535;0.983792926;0.92633722;0.963869664;0.989561753;0.993508441;0.991137825;0.994438734
16/02/2000;1.118068452;1.017580948;1.104964851;0.98184439;0.913670352;0.880770237;0.948009687;1.048769089;1.045778454;0.965629439;0.987186098;0.91943876;0.965267455;0.987207548;0.992445403;0.983100804;0.994444429
17/02/2000;1.116947839;1.03577438;1.118165423;0.996924367;0.926274045;0.889493792;0.948265614;1.059379132;1.068149245;0.967789075;0.989593642;0.912224736;0.967146034;0.990965536;0.994810984;0.986557719;0.991960415
18/02/2000;1.093179761;1.020152551;1.117061365;0.998470751;0.928540537;0.882982415;0.919299563;1.052255965;1.032122983;0.966807523;0.983808249;0.908345702;0.966115868;0.989713134;0.993277247;0.990199278;0.999472254
21/02/2000;1.092700432;1.003791981;1.119202008;0.975787443;0.917243025;0.871984688;0.918831486;1.042983086;1.031732655;0.968674126;0.984182349;0.903604257;0.968116763;0.992881985;0.998121739;0.996127826;0.999109666
22/02/2000;1.075219141;1.003024396;1.121658911;0.954810374;0.927111424;0.862241632;0.922841576;1.041165513;1.031992874;0.988106133;0.994719942;0.909146136;0.985258312;0.997353959;1.006483248;1.003410945;1.00873059
23/02/2000;1.090790833;1.014352203;1.134969313;0.967951513;0.934104919;0.880637773;0.928578821;1.054108143;1.089216942;0.984870319;0.988626963;0.905166588;0.97971063;0.999307082;1.003751988;1.00176983;1.001974302
24/02/2000;1.069247868;1.022246597;1.126242482;0.981305598;0.927734235;0.872259998;0.923489031;1.060725894;1.116529885;0.977219159;0.986414065;0.90551756;0.972898639;0.999044117;1.002660995;1.009873507;1.009459563
25/02/2000;1.053298239;1.040620809;1.140599311;1.001311662;0.920455998;0.888054078;0.909716624;1.07996499;1.089997598;0.960152797;0.982168066;0.905997671;0.956131833;1.002406485;1.00490569;1.010458087;1.008770456
28/02/2000;1.061242837;1.025862582;1.117920685;1.003585417;0.910889088;0.874523162;0.919387354;1.063175205;1.081544497;0.948386928;0.97940143;0.922073684;0.945929937;0.997331329;1.004732673;1.008453812;1.002351128
29/02/2000;1.04141173;1.040591513;1.126269541;0.998064152;0.909802886;0.893427473;0.931764341;1.074956253;1.118739741;0.944273229;0.972445662;0.914597786;0.941996073;0.995768363;0.998638525;1.001644946;1.002710868
01/03/2000;1.074825439;1.051474123;1.138441404;1.001713992;0.916203484;0.912243289;0.940515944;1.08595787;1.125113095;0.949378284;0.976023061;0.934240262;0.946852585;0.995815181;1.000508475;1.003755717;1.005448314
02/03/2000;1.086798802;1.088550649;1.170418837;0.99778519;0.92842108;0.921715348;0.942127269;1.121585749;1.098971136;0.947522701;0.973008877;0.932463454;0.944494234;0.994851495;1.000563629;1.001919998;1.004129898
03/03/2000;1.086409249;1.094668712;1.172402448;0.979210517;0.924799965;0.929488434;0.960660894;1.130796391;1.158667281;0.943017936;0.974060075;0.933326311;0.939949765;0.995599035;0.984334732;1.008095249;1.006514247
06/03/2000;1.111381592;1.099693954;1.174367553;0.957918471;0.932816115;0.941984396;0.948081668;1.134087167;1.169852676;0.942435044;0.969013189;0.93301966;0.939082269;0.99967617;0.984185136;1.012276952;1.002839008
07/03/2000;1.088468853;1.082089328;1.187381627;0.967027392;0.927823999;0.927297826;0.923650623;1.12629976;1.142541735;0.938617705;0.974006541;0.939787309;0.935529267;1.002038958;0.984234246;1.014686526;1.005508112
08/03/2000;1.074348476;1.065707618;1.175782607;0.964472997;0.913987892;0.919201121;0.931142392;1.113579649;1.159447936;0.938230732;0.974688166;0.938241758;0.936113543;1.000269208;0.984596903;1.013448411;1.00584792
09/03/2000;1.0884477;1.078777967;1.170092073;0.954382801;0.90819563;0.936374262;0.954845483;1.1112753;1.19859482;0.949705969;0.974507188;0.944288914;0.946355371;1.005044724;0.984645257;1.017391837;1.008848289
10/03/2000;1.095909551;1.093255716;1.173918972;0.948308215;0.908904825;0.94146257;0.950173463;1.124663196;1.197814164;0.945205174;0.972414685;0.943176671;0.941167579;1.008407092;1.005328035;1.013921898;1.005913414
13/03/2000;1.095508651;1.063805651;1.13203333;0.904664862;0.892062108;0.92800363;0.942002559;1.091295563;1.161009248;0.947369249;0.97253924;0.951589501;0.941823547;1.008238545;1.005167861;1.014447484;1.007224236
14/03/2000;1.097423975;1.065947503;1.125471336;0.918486706;0.899490139;0.930746787;0.925192555;1.092223167;1.103913287;0.943360989;0.967550865;0.95494425;0.937414754;1.007473838;1.005214704;1.012093073;1.012220738
15/03/2000;1.093169913;1.038742641;1.090694653;0.932106079;0.901800695;0.924830055;0.94753413;1.05595094;1.06919012;0.949344401;0.968475376;0.950455991;0.943196553;1.008220598;0.998386932;1.013796247;1.013224975
16/03/2000;1.111578533;1.05031449;1.115515536;0.95541249;0.937940316;0.940484967;0.992645122;1.075192046;1.133918492;0.953370988;0.971308903;0.948435096;0.947445254;1.009462856;0.998434531;1.023325748;1.016220598
17/03/2000;1.119714889;1.057883283;1.134074156;0.972040541;0.933803084;0.940429288;0.996560698;1.086963672;1.1601185;0.948576844;0.968227364;0.944007549;0.942525832;1.014741673;0.998481374;1.027050819;1.020925701
20/03/2000;1.132194468;1.065645027;1.1574644;0.972028492;0.942326631;0.949567768;0.990727514;1.098808405;1.117993114;0.949562;0.964653869;0.939531207;0.942726791;1.014868084;1.008634257;1.023723386;1.02155406
21/03/2000;1.146725925;1.06022552;1.147867199;0.971055248;0.955324877;0.948451707;1.015882771;1.094666002;1.160502822;0.951231257;0.971489155;0.936581282;0.945314338;1.016419346;1.008684878;1.021975774;1.024543988
22/03/2000;1.170066198;1.053140671;1.146378301;0.962791536;0.971284203;0.947103533;1.0203263;1.095222189;1.18670283;0.941540336;0.965757893;0.935957976;0.936645731;1.01585518;1.019333391;1.015160779;1.026202212
23/03/2000;1.182040385;1.051188817;1.130994021;0.958857427;0.968558273;0.944791528;1.038316633;1.09368261;1.215601105;0.950164529;0.974441233;0.931168329;0.950073182;1.018203142;1.008906249;1.01982363;1.02919309
24/03/2000;1.192473687;1.067170328;1.165804379;0.952494987;0.979053277;0.965241891;1.038211438;1.118877549;1.233966532;0.951246569;0.978627253;0.933899598;0.957020382;1.018143058;1.009151798;1.017868389;1.021282594
27/03/2000;1.197527836;1.081354955;1.159569728;0.960160331;0.969027267;0.957718725;1.035221659;1.117016441;1.223177469;0.950174821;0.980349807;0.93655871;0.956537701;1.012223603;1.008986336;1.007217996;1.019911973
28/03/2000;1.190054072;1.093554291;1.165242845;0.978911262;0.96975155;0.952249984;1.024095269;1.129088147;1.197620001;0.946753302;0.976650579;0.943709533;0.952627317;1.012163519;1.008826163;1.010250458;1.022239371
29/03/2000;1.169216186;1.090285607;1.155253187;1.009233749;0.973542444;0.944740473;1.024591831;1.127073782;1.147788142;0.933056079;0.976154554;0.947099517;0.937958516;1.012002775;1.009192597;1.010127872;1.022570636
30/03/2000;1.131215081;1.058049664;1.122835541;0.99735366;0.970999534;0.922576812;1.010433935;1.092994399;1.11157172;0.935216186;0.982003426;0.948981519;0.940477843;1.011831886;0.999113757;1.016024241;1.03055232
31/03/2000;1.13639501;1.053284946;1.116035189;0.993557316;0.976886568;0.936024253;1.01749808;1.092725265;1.14496377;0.936395837;0.982678542;0.974234503;0.942101766;1.017331532;1.006423561;1.017218685;1.034583503
03/04/2000;1.1239268;1.026846747;1.090688073;1.00898522;0.98909729;0.924563591;1.021988852;1.065768113;1.062126186;0.935814867;0.982921983;0.953497658;0.944700676;1.017552361;1.006249032;1.020182959;1.03685395
04/04/2000;1.094562883;1.042092454;1.104310569;0.998406265;1.000015959;0.919381734;1.014216575;1.078029008;1.044401297;0.934059807;0.982981998;0.945100924;0.9445723;1.019407165;1.006298897;1.017312923;1.047135506
05/04/2000;1.102561393;1.010995793;1.07600401;0.987193694;0.984695685;0.912396554;1.009117109;1.050544913;1.042860002;0.944730014;0.98033264;0.949860261;0.958902403;1.024592345;1.006661554;1.02389807;1.044485386
06/04/2000;1.120140569;1.042217113;1.092833717;0.96543223;0.982732373;0.922509095;1.018591842;1.078937088;1.064694343;0.9381818;0.974909222;0.952073251;0.956484455;1.021192521;1.006706886;1.017992507;1.04249305
07/04/2000;1.117371962;1.056175755;1.103870029;0.977043021;0.979326604;0.939331636;1.028599053;1.095623025;1.11401177;0.937601997;0.974782529;0.947232912;0.952510943;1.018303022;1.009033935;1.022855326;1.047845496
10/04/2000;1.122472516;1.065793083;1.10274435;0.999813858;0.973832818;0.934671038;1.019995602;1.100801744;1.033998559;0.938588277;0.975149944;0.934495012;0.953133253;1.023477278;1.015917616;1.019605274;1.052094041
11/04/2000;1.112406202;1.048350752;1.091727634;0.990699511;0.981747637;0.912453004;1.017243685;1.078439505;1.015889347;0.941628501;0.978474718;0.932606898;0.957902394;1.025431181;1.026421067;1.021819477;1.045135577
12/04/2000;1.077097104;1.044435315;1.09167066;0.993752774;0.992061378;0.908231052;0.994479044;1.079576566;0.949105248;0.936650654;0.97761007;0.941711335;0.952292575;1.019509386;1.007564419;1.019960006;1.037838253
13/04/2000;1.066526053;1.048616227;1.092432101;0.969105629;0.996015701;0.908958255;0.976235107;1.080121803;0.920851515;0.934215955;0.978655238;0.941437578;0.949793562;1.01984258;1.018119246;1.017096866;1.040492171
14/04/2000;1.008295295;1.015254336;1.057964219;0.963090584;0.984528686;0.883223787;0.919172624;1.049579269;0.826454222;0.934713689;0.977728017;0.950586893;0.952497534;1.02088976;1.028745094;1.015440427;1.045188731
17/04/2000;1.045266922;1.014056722;1.053558226;0.90411818;0.965221384;0.856814116;0.949100693;1.038539413;0.918923896;0.933451736;0.977109851;0.955913363;0.951729369;1.019078653;1.010137772;1.013107469;1.035497567
18/04/2000;1.082044361;1.028485736;1.054814116;0.92970643;0.966690716;0.868021574;0.976184024;1.055804607;0.963233116;0.927791476;0.971747746;0.954580205;0.944016639;1.016889095;1.025889171;1.014203078;1.030172647
19/04/2000;1.073160399;1.03155623;1.057662973;0.943340247;0.968454397;0.883717432;0.966467891;1.059422693;0.930483606;0.919298886;0.973223331;0.952475511;0.935755274;1.013987111;1.020039061;1.013259935;1.037167181
20/04/2000;1.06574155;1.04282758;1.048936086;0.948683224;0.970617559;0.89160943;0.971095848;1.068380821;0.908008727;0.91813796;0.973343346;0.945055558;0.934120815;1.014114302;1.006777907;1.012535914;1.036833068
21/04/2000;1.065578778;1.042714027;1.048821869;0.951667278;0.97053973;0.891454698;0.970926412;1.068380821;0.908008727;0.918052645;0.973341209;0.944822824;0.933997111;1.014149416;1.00681795;1.012509098;1.037207996
24/04/2000;1.050294612;1.042369389;1.048475211;0.967201509;0.970300061;0.890986035;0.967252918;1.068380821;0.877699267;0.918162695;0.973154513;0.944052482;0.935382316;1.013956679;1.006643421;1.012108396;1.035818391
25/04/2000;1.088947811;1.057717538;1.066311921;0.969802317;0.978548857;0.896991383;0.999272493;1.077632356;0.93626246;0.906060305;0.972967921;0.941230454;0.921254889;1.011451093;0.999949379;1.008398648;1.025819691
26/04/2000;1.130488566;1.069413811;1.082018105;0.971316866;0.981801605;0.893056136;0.988044172;1.095924325;0.906081108;0.902263007;0.973582711;0.93388681;0.917295338;1.009959135;1.001279877;1.0116487;1.025150517
27/04/2000;1.115819836;1.04536619;1.057470362;0.957533526;0.976831652;0.881873402;0.990633513;1.080762026;0.946537091;0.890456248;0.970438686;0.934883246;0.9064276;1.013345693;1.002014257;1.014602248;1.016793905
28/04/2000;1.114061551;1.07400672;1.08560582;0.960235509;0.977455643;0.902862248;0.982070015;1.108675954;0.978646063;0.89007722;0.96384353;0.920030827;0.90799457;1.010834646;1.010801887;1.018868994;1.018513825
01/05/2000;1.137502237;1.073640271;1.085235413;0.987222597;0.977191458;0.902383354;0.99223728;1.108675954;0.993286361;0.887157927;0.956813006;0.913205052;0.908033171;1.010630985;1.010611492;1.018459865;1.014426641
02/05/2000;1.135987498;1.097381474;1.105784308;0.99150051;0.993225293;0.908942277;0.977223929;1.136979637;0.934464951;0.886583138;0.961976596;0.912718218;0.910399703;1.010252533;1.002720682;1.016282437;1.010397357
03/05/2000;1.106469463;1.076059508;1.07946394;0.991497412;0.989195025;0.881884344;0.956074994;1.112450546;0.920851515;0.870579928;0.962395986;0.912483209;0.901656466;1.009164776;0.993122363;1.015639629;1.004012199
